Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.137     -2.833          65.894    424.537
N                                 329.176    -39.595          95.032    579.260
M                                 338.019     79.549          89.164    568.190
k1                                299.107    -89.277          99.248    589.366
k2                                286.898     49.371          96.146    576.968
tau1                              379.762   -107.549         103.911    644.683
tau2                              302.762    -13.439          84.763    531.977
tauAch                            288.214      4.485          86.916    518.774
tauNor                            263.797     16.098          82.479    510.212
beta                              342.669    -49.397          80.846    544.052
h0                                318.654    -10.775          89.238    553.599
mNor                              407.580     95.025         103.359    674.067
mAch                              257.045     28.180          79.656    485.240
