Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             229.956     -4.144          66.317    415.472
N                                 318.494    -40.803          91.613    562.780
M                                 328.304     77.610          85.024    554.160
k1                                290.077    -86.808          99.459    577.763
k2                                276.252     49.185          95.227    560.473
tau1                              368.916   -103.856         100.211    629.856
tau2                              294.010    -12.588          84.703    518.794
tauAch                            278.724      6.228          83.152    508.471
tauNor                            256.389     15.202          87.405    497.277
beta                              334.405    -52.906          80.798    530.556
h0                                311.424    -14.725          86.765    543.108
mNor                              396.843     94.001         101.322    658.632
mAch                              251.269     29.152          77.420    474.841
