Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                          23532671638018.227 -23532671638006.113 45239820227994.461 235326716380055.031
N                                  16.042      2.513           4.885     29.847
M                                  15.194     -3.592           4.208     26.251
k1                                 15.355      4.181           5.387     31.535
k2                                 21.078      3.612           9.680     53.246
tau1                               16.805      5.597           4.585     28.614
tau2                           23532671638017.477 -23532671638005.488 45118119527705.453 235326716380052.625
tauAch                             22.833      7.408           9.694     55.398
tauNor                             14.688     -3.178           5.759     32.855
beta                               15.263      0.584           3.798     24.685
h0                                 15.968     -3.546           5.275     31.512
mNor                               17.214     -4.014           4.503     28.431
mAch                               14.180      2.085           5.001     29.769
