Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              73.582      2.237          19.268    125.010
N                                  95.586    -11.192          26.797    168.042
M                                  98.839     24.460          25.428    162.322
k1                                 87.839    -25.058          28.317    165.677
k2                                 86.837     12.386          27.958    168.789
tau1                              110.638    -30.962          29.073    182.854
tau2                               84.627     -3.133          24.128    148.540
tauAch                             87.840     -2.532          23.382    148.566
tauNor                             75.857      6.901          23.919    147.183
beta                               96.020     -8.533          23.297    155.541
h0                                 92.303      5.356          24.229    157.030
mNor                              113.890     24.624          31.001    189.152
mAch                               73.948      5.179          23.414    137.354
