Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             250.888      2.312          69.625    439.162
N                                 341.694    -40.015          94.800    596.401
M                                 349.818     83.686          93.072    583.032
k1                                309.428    -91.188         103.680    602.582
k2                                302.809     44.547         104.364    601.317
tau1                              393.969   -113.689         102.882    658.735
tau2                              309.682    -12.150          87.410    543.017
tauAch                            304.243     -1.082          87.858    533.726
tauNor                            271.752     20.117          85.435    523.712
beta                              351.742    -44.891          86.126    560.453
h0                                326.564     -0.743          89.841    561.847
mNor                              414.115     92.265         105.262    689.439
mAch                              267.684     28.048          81.574    499.995
