Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             143.736      1.668          39.483    249.855
N                                 192.600    -21.936          53.616    336.118
M                                 455.536   -210.101         505.108   2601.798
k1                                191.052    -38.235          60.399    368.832
k2                                180.805     19.610          55.614    346.335
tau1                              221.482    -71.473          59.385    368.692
tau2                              181.231    -16.572          51.773    314.302
tauAch                            190.568    -25.714          54.927    346.315
tauNor                            158.819     14.943          48.186    302.781
beta                              201.174    -22.546          47.609    318.335
h0                                449.259    272.902         533.278   2708.151
mNor                              244.090     60.988          62.416    398.472
mAch                              155.320      8.718          45.727    285.297
