Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             238.896     -8.643          64.581    417.420
N                                 324.069    -43.849          88.937    567.632
M                                 330.573     69.480          85.930    554.941
k1                                295.304    -83.828          98.592    573.007
k2                                283.862     42.816          95.010    568.702
tau1                              376.607   -104.202         100.466    630.513
tau2                              296.640     -4.530          80.939    519.930
tauAch                            292.600     -7.788          84.689    517.926
tauNor                            266.133      9.234          86.780    507.776
beta                              343.969    -48.536          82.236    538.840
h0                                317.075     -8.090          82.941    540.175
mNor                              405.353     95.419         100.825    664.946
mAch                              260.032     27.352          79.008    479.295
