Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              74.877     -1.665          21.418    132.739
N                                 107.516     -6.154          29.471    182.884
M                                 109.041     22.485          27.937    180.518
k1                                 94.506    -26.173          31.241    180.411
k2                                 97.472     13.987          30.675    186.572
tau1                              123.965    -34.906          33.245    201.789
tau2                               96.651     -3.016          25.705    166.013
tauAch                             95.713     -0.590          26.464    168.220
tauNor                             87.635      4.011          26.492    161.850
beta                              108.939     -6.746          25.785    172.269
h0                                101.931     -2.568          25.902    170.844
mNor                              131.834     29.245          34.006    214.081
mAch                               83.450      6.067          25.447    155.365
