Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.153     -3.496          67.126    427.578
N                                 330.700    -38.607          90.622    581.501
M                                 340.192     80.321          90.123    573.235
k1                                299.546    -89.253         104.024    594.410
k2                                289.126     50.760         101.038    581.885
tau1                              382.215   -108.628         105.762    649.626
tau2                              304.258    -13.458          84.307    535.785
tauAch                            290.732      5.154          83.842    526.548
tauNor                            265.599     16.574          83.910    513.342
beta                              345.164    -49.897          83.557    548.017
h0                                320.727    -13.746          88.893    559.214
mNor                              411.152     96.126         106.751    679.944
mAch                              257.941     28.364          79.434    489.604
