Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              10.963     -1.641           3.474     20.295
N                                  13.560      1.504           3.948     24.759
M                                  13.306     -2.538           3.936     24.047
k1                                 11.267      2.692           3.950     22.936
k2                                 14.153     -1.067           4.442     27.009
tau1                               15.332      5.402           4.443     26.537
tau2                               10.156     -0.699           3.578     20.961
tauAch                             13.893      1.406           3.939     24.226
tauNor                         130241.277 -130231.152      258948.097 1302299.549
beta                               13.414     -0.318           4.091     24.608
h0                                 12.366     -1.731           3.708     22.967
mNor                               16.421     -4.091           4.244     27.703
mAch                           130239.900 130230.869      259168.766 1302304.619
