Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             233.787     -5.158          68.036    419.547
N                                 324.228    -41.566          91.977    570.654
M                                 332.837     76.394          88.538    559.796
k1                                295.180    -87.631          97.432    582.919
k2                                281.223     47.975          94.856    567.624
tau1                              375.659   -104.474         100.458    637.360
tau2                              298.615    -11.083          81.973    524.860
tauAch                            282.077      5.454          87.008    513.444
tauNor                            261.875     13.421          83.414    504.367
beta                              339.960    -52.436          81.842    537.276
h0                                316.164    -13.389          85.303    547.529
mNor                              403.060     95.601         104.089    667.246
mAch                              256.546     29.438          77.218    481.065
