Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             220.294     -1.207          62.187    392.814
N                                 303.520    -36.686          84.278    534.203
M                                 313.618     75.594          82.209    526.002
k1                                276.657    -82.489          92.772    545.528
k2                                265.540     46.267          90.380    534.727
tau1                              350.639    -99.889          97.724    594.806
tau2                              279.131    -12.574          78.150    491.344
tauAch                            268.239      3.302          76.482    480.023
tauNor                            242.685     16.958          81.257    470.018
beta                              316.185    -45.687          77.782    503.263
h0                                295.058     -8.627          81.734    512.319
mNor                              374.960     87.105          93.094    621.667
mAch                              236.890     25.618          72.509    447.507
