Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             107.539     76.561         136.518    716.106
N                                  41.038      0.146          10.514     68.463
M                                  41.179      6.197          10.709     68.881
k1                                 35.837     -7.264          10.910     65.298
k2                                 40.957      3.395          12.263     73.870
tau1                               50.007     -9.992          14.353     85.947
tau2                              344.401    312.102         609.982   3102.912
tauAch                             41.570     -2.127          11.042     69.171
tauNor                             37.444      4.591          11.709     69.631
beta                              281.336    242.912         457.848   2401.348
h0                                663.252    626.761        1237.978   6228.860
mNor                               50.310     11.622          12.895     83.256
mAch                               37.128     -2.554          11.216     67.965
