Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             281.236      9.974          80.805    486.554
N                                 335.926    -38.262          92.176    587.501
M                                 345.823     82.436          92.642    577.950
k1                                307.880    -89.155         103.317    598.958
k2                                298.749     48.449          99.496    592.312
tau1                              392.168   -107.413         109.365    659.723
tau2                              307.850    -12.514          82.716    538.283
tauAch                            304.301      1.126          81.406    531.440
tauNor                            265.258     24.862          90.565    517.410
beta                              349.947    -46.134          83.573    554.794
h0                                326.896     -0.909          85.251    560.031
mNor                              423.324     79.323         109.286    697.130
mAch                              284.572     39.450          86.416    527.380
