Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             207.572     -3.889          61.429    374.752
N                                 287.604    -36.984          81.347    507.936
M                                 296.159     69.667          79.354    499.510
k1                                262.045    -78.281          90.290    520.882
k2                                249.274     44.116          84.127    505.383
tau1                              332.992    -93.634          91.213    568.303
tau2                              265.292    -11.219          74.632    467.888
tauAch                            251.091      5.656          75.555    458.093
tauNor                            231.534     13.328          75.874    448.780
beta                              301.929    -47.629          73.855    478.544
h0                                280.936    -13.060          79.089    489.503
mNor                              358.199     84.911          94.685    594.151
mAch                              227.033     26.365          72.759    428.447
