Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             233.177     -2.345          67.746    419.247
N                                 322.467    -39.125          93.065    569.037
M                                 333.346     80.043          89.968    561.046
k1                                293.889    -87.979          98.634    583.041
k2                                281.218     50.327         100.010    568.546
tau1                              372.878   -106.388         101.078    635.475
tau2                              297.621    -14.032          85.513    524.881
tauAch                            284.002      5.290          86.803    513.299
tauNor                            258.736     17.398          87.515    501.856
beta                              337.112    -50.645          84.327    536.322
h0                                313.913    -12.741          89.251    548.155
mNor                              400.358     93.602         106.748    664.059
mAch                              252.261     28.098          84.666    478.048
