Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.087     -3.058          71.340    425.037
N                                 328.199    -39.408          90.637    578.112
M                                 337.716     79.961          85.828    568.878
k1                                298.031    -89.045          99.134    590.564
k2                                286.202     50.212         101.848    577.176
tau1                              379.029   -107.798         106.501    645.183
tau2                              301.995    -13.431          84.671    532.179
tauAch                            288.076      5.091          84.267    521.008
tauNor                            263.207     16.544          85.376    509.995
beta                              342.453    -50.302          82.224    544.234
h0                                318.322    -12.625          86.446    555.083
mNor                              407.640     95.349         107.510    674.826
mAch                              256.383     28.255          82.313    485.875
