Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.062     -1.761          65.701    422.203
N                                 325.513    -38.533          91.227    573.158
M                                 336.971     81.116          86.746    565.341
k1                                296.823    -88.580         102.181    586.755
k2                                284.390     50.877          95.146    573.236
tau1                              376.404   -107.674         105.333    639.650
tau2                              300.370    -14.588          82.827    528.469
tauAch                            287.355      4.987          85.332    516.971
tauNor                            261.156     18.230          83.558    505.128
beta                              339.440    -49.794          81.032    540.021
h0                                316.817    -12.174          89.882    551.624
mNor                              403.241     93.767         106.957    668.351
mAch                              254.096     27.725          79.513    481.054
