Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             227.354     -1.546          66.121    406.717
N                                 313.605    -37.539          86.341    552.480
M                                 324.399     78.061          87.929    544.601
k1                                285.971    -85.415          97.201    565.198
k2                                274.068     48.636          92.927    552.658
tau1                              362.515   -103.593          98.919    616.147
tau2                              289.180    -13.657          84.543    509.211
tauAch                            276.800      4.425          78.853    497.543
tauNor                            251.452     17.421          80.461    486.900
beta                              327.146    -47.965          79.561    520.647
h0                                305.134    -10.954          85.258    531.250
mNor                              388.370     90.386         102.594    643.870
mAch                              244.811     26.702          78.294    463.361
