9.0,[4.9264296346033604e-5,-3.3158661002138004e-5,-9.864701648136059e-6,0.11249312592553905,0.0038046518316800105]
10.0,[-6.631732200427601e-6,0.0,-7.63241321995641e-5,0.11179489926386546,0.0]
11.0,[0.021857241942295026,0.0,-0.02060942231688993,-0.14566220822113488,0.0]
12.0,[-1.70530256582424e-5,0.0,-6.465938895416912e-6,0.09479682224385516,0.0]
13.0,[-0.00012410813117943081,0.0,2.1517602514601702e-5,0.03712254207736502,0.0]
14.0,[-5.968558980384841e-5,0.0,4.215886898843261e-6,0.0717079728929093,0.0]
15.0,[-2.4632148173016802e-5,0.0,-2.2500519965736508e-5,0.09322131215109644,0.0]
16.0,[-5.968558980384841e-5,0.0,3.825088394175206e-6,0.07122101427133505,0.0]
17.0,[-0.00010231815394945441,0.0,1.824910593010524e-5,0.04850069975267009,0.0]
18.0,[-5.968558980384841e-5,0.0,4.583000645652646e-6,0.07115090738807338,0.0]
19.0,[-6.158037043254201e-5,0.0,5.021168666038042e-6,0.07036931037873727,0.0]
20.0,[-0.00010421293457814801,0.0,1.8545165403338615e-5,0.047697312766104,0.0]
21.0,[-0.00010421293457814801,0.0,1.8805697739783987e-5,0.04763762717630015,0.0]
22.0,[-0.00010610771520684162,0.0,1.907807245515869e-5,0.046824766286590595,0.0]
23.0,[-0.00010610771520684162,0.0,1.9089914834088027e-5,0.04681529238344713,0.0]
24.0,[-6.158037043254201e-5,0.0,5.483021444282107e-6,0.07026225527321608,0.0]
25.0,[-2.3684757858670004e-5,0.0,-2.3080796533273922e-5,0.09360216305746386,0.0]
26.0,[-2.2737367544323203e-5,0.0,-2.4963734783038188e-5,0.09446523563383379,0.0]
27.0,[5.684341886080801e-6,0.0,-6.915949294731642e-5,0.11831957635877187,0.0]
28.0,[6.631732200427601e-6,0.0,-6.990556281986453e-5,0.11839063063234788,0.0]
29.0,[-2.0842586915629603e-5,0.0,-2.844539418826268e-5,0.09623401335071927,0.0]
30.0,[-2.0842586915629603e-5,0.0,-2.794801427323061e-5,0.09621127598317494,0.0]
31.0,[5.684341886080801e-6,0.0,-6.946739479947914e-5,0.11843231580617913,0.0]
32.0,[5.684341886080801e-6,0.0,-7.005951374594588e-5,0.11845505317372346,0.0]
33.0,[-2.0842586915629603e-5,0.0,-2.8457236567192012e-5,0.09623780291197664,0.0]
34.0,[6.631732200427601e-6,0.0,-7.127927877566739e-5,0.11921675498645828,0.0]
35.0,[5.684341886080801e-6,0.0,-7.009504088273388e-5,0.11846357968655258,0.0]
36.0,[-1.9895196601282802e-5,0.0,-2.8504606082909355e-5,0.0962671720117214,0.0]
37.0,[6.631732200427601e-6,0.0,-7.127927877566739e-5,0.11921770237677264,0.0]
38.0,[5.684341886080801e-6,0.0,-7.010688326166323e-5,0.11846547446718128,0.0]
39.0,[-2.0842586915629603e-5,0.0,-2.851644846183869e-5,0.09626811940203575,0.0]
