0.0,[0.0059458216128405175,-2.0840178175755377,-0.10686354319962751,-0.5577855214748221,1.8949559635724913]
1.0,[0.0072371146112952065,-1.8409937278344537,-0.09103549321783552,-0.6789160048962609,1.8949557605602811]
2.0,[0.23908626189950152,-1.7213963587892065,-0.11232446676482748,-0.4665821506932843,2.078805851267264]
3.0,[-0.002101311717221203,-1.2010893613023652,-0.05071818520718807,0.17158091244103463,1.5733631032942086]
4.0,[-0.0024812152332742694,-1.0315929444004721,-0.03768886832252368,0.2012588614282625,1.567141388087683]
5.0,[-0.005476863407238851,-0.8626990677385037,-0.025323837841521406,0.3421528541972899,1.5430694182733922]
6.0,[-0.006391095060583513,-0.7014984741241884,-0.012834817653128994,0.3928401307954724,1.5436624169394364]
7.0,[-0.0046128434405545695,-0.5340865527614368,0.0005453770768326649,0.3326647401991067,1.5635710123465936]
8.0,[-0.005183172409791344,-0.3680566370197387,0.013348883480072498,0.36632457067753416,1.5646526614026306]
9.0,[-0.005748764427456383,-0.20166339709248857,0.026177353618095367,0.3986258434451883,1.5656053977051798]
10.0,[-0.006322882957950544,-0.034944965439838896,0.039024001807774766,0.4302298369414832,1.5664744929771195]
11.0,[-0.000705805784188366,0.0,-0.00037423101654591545,0.05420398944503782,0.0]
12.0,[-0.001204133089534783,0.0,-0.0005654380667389585,0.08013595712933844,0.0]
13.0,[-0.0018549902354910346,0.0,-0.0007552950857340572,0.10490642428824987,0.0]
14.0,[-0.0012069752604778234,0.0,-0.0005659236042750612,0.0801615366678258,0.0]
15.0,[-0.0012098174314208638,0.0,-0.0005664801960847399,0.08025438091863178,0.0]
16.0,[-0.0007029636132453256,0.0,-0.0003718151712443311,0.05386008676092993,0.0]
17.0,[-0.001204133089534783,0.0,-0.0005653788548443117,0.080129325397138,0.0]
18.0,[-0.0012022383089060893,0.0,-0.000564822263034633,0.08003458636570333,0.0]
19.0,[-0.0007029636132453256,0.0,-0.0003718033288654018,0.05385913937061559,0.0]
20.0,[-0.0007010688326166321,0.0,-0.00037155463890788576,0.05383734939338561,0.0]
21.0,[-0.000705805784188366,0.0,-0.00037061909097246826,0.053711346481577486,0.0]
22.0,[-0.0012003435282773958,0.0,-0.000564538045940329,0.08001563855941639,0.0]
23.0,[-0.0007010688326166321,0.0,-0.0003709506775824897,0.05373976819100789,0.0]
24.0,[-0.0007010688326166321,0.0,-0.0003715427965289564,0.053836402003071264,0.0]
25.0,[-0.0012012909185917426,0.0,-0.0005645262035613996,0.08001658594973074,0.0]
26.0,[-0.0012022383089060893,0.0,-0.000564822263034633,0.08003363897538898,0.0]
27.0,[-0.001208870041106517,0.0,-0.0005656275448018278,0.0801435362518532,0.0]
28.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.0801435362518532,0.0]
29.0,[-0.001208870041106517,0.0,-0.0005656393871807571,0.08014448364216756,0.0]
30.0,[-0.001857832406434075,0.0,-0.0007561122098801814,0.10501253200345671,0.0]
31.0,[-0.001857832406434075,0.0,-0.000756384584595556,0.10502200590660019,0.0]
32.0,[-0.0012098174314208638,0.0,-0.0005667644131790439,0.08027332872491873,0.0]
33.0,[-0.0012098174314208638,0.0,-0.0005664920384636692,0.08025627569926048,0.0]
34.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014637842279625,0.0]
35.0,[-0.0018568850161197283,0.0,-0.0007561122098801814,0.10501158461314236,0.0]
36.0,[-0.0018568850161197283,0.0,-0.0007563964269744854,0.10502200590660019,0.0]
37.0,[-0.0012098174314208638,0.0,-0.0005667644131790439,0.08027332872491873,0.0]
38.0,[-0.0012098174314208638,0.0,-0.0005664920384636692,0.08025627569926048,0.0]
39.0,[-0.001857832406434075,0.0,-0.0007561240522591106,0.10501347939377106,0.0]
40.0,[-0.001857832406434075,0.0,-0.0007563964269744854,0.10502295329691452,0.0]
41.0,[-0.000705805784188366,0.0,-0.00037291651248475927,0.05399745835651022,0.0]
42.0,[-0.0012060278701634766,0.0,-0.0005662196637482946,0.08024111745423093,0.0]
43.0,[-0.0012012909185917426,0.0,-0.0005648341054135624,0.08003648114633202,0.0]
44.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014448364216756,0.0]
45.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014448364216756,0.0]
46.0,[-0.0007039110035596725,0.0,-0.0003718151712443311,0.05386008676092993,0.0]
47.0,[-0.0012050804798491297,0.0,-0.0005653788548443117,0.08013027278745236,0.0]
48.0,[-0.0012022383089060893,0.0,-0.000564822263034633,0.08003363897538898,0.0]
49.0,[-0.001208870041106517,0.0,-0.0005656275448018278,0.0801435362518532,0.0]
50.0,[-0.001208870041106517,0.0,-0.0005656512295596865,0.08014448364216756,0.0]
51.0,[-0.001857832406434075,0.0,-0.0007561240522591106,0.10501158461314236,0.0]
52.0,[-0.00120792265079217,0.0,-0.0005659472890329198,0.08016248405814015,0.0]
53.0,[-0.0012107648217352105,0.0,-0.0005664683537058106,0.08025532830894613,0.0]
54.0,[-0.001857832406434075,0.0,-0.0007561122098801814,0.10501253200345671,0.0]
55.0,[-0.0012069752604778234,0.0,-0.0005659472890329198,0.08016343144845449,0.0]
56.0,[-0.0012098174314208638,0.0,-0.0005664920384636692,0.08025438091863178,0.0]
57.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014543103248191,0.0]
58.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
59.0,[-0.0018568850161197283,0.0,-0.0007561122098801814,0.10501063722282802,0.0]
60.0,[-0.0018587797967484219,0.0,-0.0007563964269744854,0.10502105851628583,0.0]
61.0,[-0.0012098174314208638,0.0,-0.0005667644131790439,0.08027332872491873,0.0]
62.0,[-0.0012098174314208638,0.0,-0.0005664920384636692,0.08025627569926048,0.0]
63.0,[-0.00120792265079217,0.0,-0.0005656630719386158,0.08014637842279625,0.0]
64.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
65.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014448364216756,0.0]
66.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
67.0,[-0.0007029636132453256,0.0,-0.0003718033288654018,0.05385913937061559,0.0]
68.0,[-0.0007020162229309789,0.0,-0.0003715427965289564,0.05383734939338561,0.0]
69.0,[-0.0012022383089060893,0.0,-0.0005645262035613996,0.08001753334004509,0.0]
70.0,[-0.0012022383089060893,0.0,-0.000564822263034633,0.08003269158507463,0.0]
71.0,[-0.0018559376258053815,0.0,-0.000756100367501252,0.10500968983251367,0.0]
72.0,[-0.0012069752604778234,0.0,-0.0005659354466539905,0.0801615366678258,0.0]
73.0,[-0.0007048583938740193,0.0,-0.00037264413776938454,0.0539747209889659,0.0]
74.0,[-0.0018559376258053815,0.0,-0.0007558279927858773,0.1050021107099989,0.0]
75.0,[-0.0018549902354910346,0.0,-0.0007555674604494319,0.10491495080107899,0.0]
76.0,[-0.001208870041106517,0.0,-0.0005667644131790439,0.08027143394429002,0.0]
77.0,[-0.001208870041106517,0.0,-0.0005664920384636692,0.08025627569926048,0.0]
78.0,[-0.00120792265079217,0.0,-0.0005656630719386158,0.08014637842279625,0.0]
79.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014543103248191,0.0]
80.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
81.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014448364216756,0.0]
82.0,[-0.0012069752604778234,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
83.0,[-0.0018568850161197283,0.0,-0.0007561122098801814,0.10501063722282802,0.0]
84.0,[-0.0012069752604778234,0.0,-0.0005659354466539905,0.08016248405814015,0.0]
85.0,[-0.001208870041106517,0.0,-0.0005664920384636692,0.08025532830894613,0.0]
86.0,[-0.00120792265079217,0.0,-0.0005656512295596865,0.08014637842279625,0.0]
87.0,[-0.0007029636132453256,0.0,-0.0003718151712443311,0.05385913937061559,0.0]
88.0,[-0.001204133089534783,0.0,-0.0005653788548443117,0.080129325397138,0.0]
89.0,[-0.0012069752604778234,0.0,-0.000564786735897845,0.08002984941413159,0.0]
90.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014448364216756,0.0]
91.0,[-0.00120792265079217,0.0,-0.0005656393871807571,0.08014543103248191,0.0]
92.0,[-0.0007029636132453256,0.0,-0.0003718151712443311,0.05385913937061559,0.0]
93.0,[-0.0007010688326166321,0.0,-0.0003715427965289564,0.05383734939338561,0.0]
94.0,[-0.001853095454862341,0.0,-0.0007549990262608238,0.10489316082384902,0.0]
95.0,[-0.0012050804798491297,0.0,-0.0005650827953710784,0.08004879722041854,0.0]
96.0,[-0.000705805784188366,0.0,-0.0003726322953904552,0.05397377359865155,0.0]
97.0,[-0.001204133089534783,0.0,-0.0005653906972232411,0.08013122017776671,0.0]
98.0,[-0.001853095454862341,0.0,-0.0007552832433551279,0.10490547689793553,0.0]
99.0,[-0.001857832406434075,0.0,-0.000756384584595556,0.10502011112597148,0.0]
100.0,[-0.0012098174314208638,0.0,-0.0005667762555579733,0.08027238133460438,0.0]
101.0,[-0.0012098174314208638,0.0,-0.0005664801960847399,0.08025627569926048,0.0]
102.0,[-0.0007039110035596725,0.0,-0.0003718388560021898,0.05386103415124428,0.0]
103.0,[-0.0007020162229309789,0.0,-0.00037155463890788576,0.05383829678369996,0.0]
104.0,[-0.0012012909185917426,0.0,-0.0005645262035613996,0.08001658594973074,0.0]
105.0,[-0.0012022383089060893,0.0,-0.0005648104206557036,0.08003363897538898,0.0]
106.0,[-0.0007039110035596725,0.0,-0.0003718033288654018,0.05385819198030124,0.0]
107.0,[-0.0007010688326166321,0.0,-0.0003715427965289564,0.05383734939338561,0.0]
108.0,[-0.0012022383089060893,0.0,-0.0005645262035613996,0.08001658594973074,0.0]
109.0,[-0.0012022383089060893,0.0,-0.0005648104206557036,0.08003363897538898,0.0]
110.0,[-0.001208870041106517,0.0,-0.0005656275448018278,0.0801435362518532,0.0]
111.0,[-0.0018568850161197283,0.0,-0.000756100367501252,0.10501063722282802,0.0]
112.0,[-0.001857832406434075,0.0,-0.000756384584595556,0.10502200590660019,0.0]
