Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.982     -7.685         174.705    436.083
N                                 143.897     92.414         126.615    319.010
M                                 225.825    -27.534         171.397    470.593
k1                                389.423    -24.377         232.350    679.215
k2                                167.036     47.679         125.510    338.773
tau1                               81.115      0.470          87.296    220.603
tau2                              298.373     38.969         196.779    547.818
tauAch                            353.393    141.534         174.899    531.533
tauNor                            338.978    -68.463         170.813    525.105
beta                              283.647    162.796         196.743    511.537
h0                                556.387     20.558         240.296    800.857
mNor                              329.899     30.570         210.501    599.050
mAch                              475.392    229.370         261.244    722.421
