Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             128.132    -10.587         147.307    377.427
N                                 120.408     78.820         110.818    275.888
M                                 195.177    -25.014         150.634    409.626
k1                                337.315    -24.669         213.071    591.332
k2                                145.899     45.299         116.944    300.253
tau1                               68.990      4.468          79.495    196.045
tau2                              260.319     35.685         162.606    479.873
tauAch                            303.636    118.145         150.790    457.427
tauNor                            289.299    -59.494         146.394    452.421
beta                              246.159    139.381         173.453    444.615
h0                                480.955     22.133         207.533    693.447
mNor                              289.581     28.981         191.037    526.898
mAch                              417.050    203.264         214.286    633.880
