Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.380     -6.674         171.783    441.937
N                                 155.931     88.141         125.365    325.208
M                                 227.945    -29.624         186.284    475.207
k1                                385.207    -22.962         227.975    674.842
k2                                167.199     48.407         120.164    333.834
tau1                               81.421      2.195          86.003    218.419
tau2                              295.684     38.727         192.815    543.951
tauAch                            352.335    139.749         176.478    529.710
tauNor                            340.965    -66.117         178.214    527.408
beta                              286.576    165.752         194.526    514.224
h0                                563.418     25.982         244.415    805.683
mNor                              332.496     30.300         215.393    597.064
mAch                              474.798    226.574         246.983    719.593
