Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.676     -5.715         176.550    441.343
N                                 153.612     90.356         129.655    324.942
M                                 228.861    -28.443         175.402    475.940
k1                                390.214    -22.888         233.218    680.362
k2                                168.162     47.217         124.744    337.347
tau1                               82.057      0.197          86.802    220.118
tau2                              299.034     38.726         196.793    548.276
tauAch                            356.496    143.145         180.885    536.054
tauNor                            344.246    -68.085         171.098    531.165
beta                              287.798    166.285         195.810    516.610
h0                                564.737     22.797         249.375    809.987
mNor                              333.349     29.750         221.332    600.352
mAch                              477.154    228.253         257.574    723.742
