Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             136.816     -8.354         152.520    400.287
N                                 150.675     85.025         120.469    305.793
M                                 205.559    -31.612         159.721    435.112
k1                                342.313    -19.795         209.192    607.287
k2                                149.218     47.192         111.090    300.342
tau1                               71.156      5.240          78.350    196.618
tau2                              265.444     35.865         171.941    491.678
tauAch                            315.253    120.982         157.087    475.920
tauNor                            306.745    -58.511         154.191    477.996
beta                              266.838    156.333         175.828    469.125
h0                                515.405     27.274         215.385    731.737
mNor                              307.459     24.934         184.024    538.087
mAch                              429.345    205.497         221.490    651.294
