Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             145.621     -4.786         169.353    417.545
N                                 148.888     79.800         121.394    316.902
M                                 219.155    -28.945         172.928    459.866
k1                                372.414    -23.508         224.185    648.599
k2                                161.484     46.851         123.082    329.474
tau1                               76.422      2.385          82.897    215.906
tau2                              287.336     38.755         179.831    528.691
tauAch                            342.705    136.493         173.288    517.454
tauNor                            332.449    -66.451         163.174    512.009
beta                              279.500    160.960         180.113    499.595
h0                                545.284     29.490         231.976    783.455
mNor                              322.803     29.389         210.450    579.528
mAch                              457.515    220.252         234.431    696.072
