Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              47.872    -10.560          57.315    139.069
N                                  46.627     33.149          36.020     92.321
M                                  66.883    -10.633          51.598    137.672
k1                                115.090    -10.185          72.961    207.740
k2                                 54.661     21.312          35.973     99.605
tau1                               24.939      6.361          26.520     67.824
tau2                               92.726     11.579          57.055    164.741
tauAch                             97.380     31.933          43.634    141.215
tauNor                             93.456    -16.269          46.246    146.276
beta                               78.537     41.259          53.745    145.426
h0                                153.672      8.606          65.351    222.161
mNor                              104.670     13.742          61.463    182.107
mAch                              146.867     71.483          76.268    219.078
