Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             112.129    -10.208         130.130    328.261
N                                 105.913     70.093          96.942    239.131
M                                 169.844    -22.180         136.147    355.843
k1                                295.728    -22.518         189.474    517.047
k2                                128.362     40.788          99.705    262.394
tau1                               59.778      4.004          66.397    171.647
tau2                              228.650     31.134         150.756    420.253
tauAch                            264.987    102.393         126.613    397.003
tauNor                            251.003    -52.068         132.754    393.080
beta                              213.461    120.017         145.983    386.259
h0                                416.780     18.373         175.751    601.736
mNor                              252.524     26.223         165.467    460.200
mAch                              363.914    178.552         189.539    553.758
