Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              89.108     -7.534         103.091    261.158
N                                  84.013     55.325          79.708    191.328
M                                 135.511    -17.444         106.170    284.177
k1                                235.752    -17.707         139.473    411.978
k2                                101.938     31.907          76.670    209.666
tau1                               47.630      2.816          55.108    136.893
tau2                              181.926     24.871         117.755    335.058
tauAch                            211.853     82.397         107.213    318.291
tauNor                            201.178    -41.848         103.298    314.484
beta                              170.807     96.359         115.586    308.824
h0                                333.480     14.688         144.844    481.598
mNor                              201.281     20.497         124.458    366.995
mAch                              289.979    142.096         150.755    441.509
