Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             126.413     -3.345         140.173    358.425
N                                 135.540     67.438         106.915    265.813
M                                 185.810    -29.363         142.302    392.208
k1                                298.755    -16.628         184.681    531.337
k2                                134.835     41.933          94.868    259.028
tau1                               62.523      3.702          65.936    169.532
tau2                              234.132     27.168         151.745    431.307
tauAch                            276.526    106.486         146.868    420.709
tauNor                            274.366    -53.455         140.241    425.698
beta                              231.738    134.817         151.390    413.857
h0                                458.441     29.054         191.299    653.000
mNor                              274.771     22.079         158.838    471.682
mAch                              379.236    169.383         198.328    573.222
