Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.415     -5.388         173.287    440.210
N                                 153.030     90.372         123.613    325.082
M                                 228.853    -28.038         175.448    475.896
k1                                390.940    -22.909         232.182    680.699
k2                                168.972     46.643         126.082    338.657
tau1                               81.922     -0.155          84.637    220.579
tau2                              299.768     38.869         203.557    548.934
tauAch                            357.903    143.922         176.172    538.017
tauNor                            344.825    -68.634         170.696    531.927
beta                              288.167    166.487         191.230    517.284
h0                                565.257     22.371         244.795    811.280
mNor                              333.204     29.512         213.038    600.997
mAch                              477.497    228.473         249.032    724.416
