Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             140.194     -5.526         156.061    404.825
N                                 137.937     81.060         121.538    305.453
M                                 213.647    -25.906         166.759    446.937
k1                                366.626    -23.954         221.577    636.799
k2                                159.831     44.362         122.341    326.697
tau1                               74.806      1.652          83.789    212.642
tau2                              282.989     38.355         179.496    518.630
tauAch                            337.752    134.359         170.846    507.973
tauNor                            323.006    -66.750         163.575    498.684
beta                              272.018    156.198         189.403    487.668
h0                                529.918     25.520         231.099    763.913
mNor                              314.444     28.332         197.980    569.058
mAch                              449.080    216.986         229.602    683.032
