Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.834     -4.617         174.388    441.996
N                                 156.607     89.034         126.609    327.890
M                                 230.370    -27.852         187.103    478.531
k1                                390.867    -21.960         235.565    680.130
k2                                170.249     45.654         126.292    339.223
tau1                               82.544      0.253          90.228    221.347
tau2                              299.831     39.036         195.683    548.188
tauAch                            360.157    144.230         175.670    540.580
tauNor                            346.597    -68.472         164.944    533.849
beta                              290.069    168.063         196.926    519.664
h0                                568.881     24.927         235.894    815.347
mNor                              334.650     28.974         219.342    601.126
mAch                              478.726    227.417         247.332    724.333
