Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             117.065    -12.997         135.309    346.692
N                                 111.148     73.008         101.028    246.476
M                                 176.668    -22.910         141.639    368.859
k1                                302.145    -22.435         185.461    534.591
k2                                133.271     42.668         100.384    267.752
tau1                               63.501      6.872          71.351    175.636
tau2                              234.497     31.830         155.060    429.951
tauAch                            269.790    102.038         137.693    403.187
tauNor                            254.632    -51.022         134.488    402.394
beta                              219.787    123.584         151.379    397.518
h0                                430.267     21.105         192.296    617.886
mNor                              262.860     26.942         159.084    474.743
mAch                              379.179    182.693         199.854    571.993
