Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             121.701     -4.815         138.562    351.398
N                                 119.836     70.014         107.707    265.075
M                                 185.145    -22.850         143.394    387.955
k1                                317.341    -20.756         189.879    551.571
k2                                138.256     38.746         101.131    282.904
tau1                               64.751      1.753          75.571    184.423
tau2                              244.737     33.314         154.749    449.524
tauAch                            292.217    116.042         149.142    439.969
tauNor                            279.804    -57.691         140.002    432.382
beta                              235.957    135.456         168.305    422.947
h0                                459.604     22.982         202.945    662.372
mNor                              272.786     24.715         172.429    493.201
mAch                              389.292    188.032         203.406    591.985
