Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             133.574     -7.208         155.206    388.191
N                                 144.237     67.672         114.465    297.077
M                                 200.955    -29.353         156.127    422.155
k1                                338.012    -21.615         217.016    594.355
k2                                146.513     45.854         109.523    296.851
tau1                               70.349      4.548          76.528    195.703
tau2                              262.011     35.263         169.537    483.295
tauAch                            308.723    120.422         158.204    465.977
tauNor                            302.315    -56.241         150.623    465.802
beta                              254.323    145.692         175.291    454.968
h0                                498.656     29.889         215.777    712.177
mNor                              295.729     29.340         180.310    529.306
mAch                              418.612    203.415         218.246    637.245
