Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             142.457     -7.860         168.994    416.411
N                                 136.946     84.436         127.846    311.064
M                                 217.746    -27.191         169.625    457.648
k1                                375.369    -25.801         227.726    654.556
k2                                162.457     47.391         129.304    334.991
tau1                               76.395      2.856          84.477    218.128
tau2                              288.997     39.656         186.930    532.940
tauAch                            342.621    135.486         175.996    517.233
tauNor                            327.973    -67.780         171.566    508.964
beta                              277.067    158.447         192.568    498.481
h0                                540.905     25.686         234.923    779.961
mNor                              321.703     30.249         205.646    584.735
mAch                              461.463    223.969         234.524    702.569
