Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             143.828     -6.973         162.270    411.151
N                                 160.743     68.697         109.167    306.564
M                                 209.896    -28.638         169.878    435.066
k1                                331.734    -18.908         206.982    592.351
k2                                153.622     43.806         105.353    289.578
tau1                               73.712      9.962          74.546    191.354
tau2                              257.305     33.060         164.604    472.258
tauAch                            306.518    114.283         152.327    459.913
tauNor                            299.893    -51.822         151.882    466.786
beta                              258.922    153.340         171.695    463.049
h0                                517.890     41.993         212.089    723.394
mNor                              301.081     24.716         194.130    529.981
mAch                              426.299    192.308         214.106    638.547
