Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             116.162      0.819         124.955    322.362
N                                 133.925     52.297          94.867    262.894
M                                 171.647    -24.298         133.456    359.068
k1                                285.601    -15.225         178.022    495.039
k2                                125.149     34.469          90.583    250.424
tau1                               58.945      0.454          68.261    164.745
tau2                              221.321     29.093         143.575    404.978
tauAch                            268.568    108.116         140.090    405.640
tauNor                            265.203    -49.866         126.180    402.586
beta                              220.934    128.626         143.860    390.077
h0                                430.396     27.589         191.079    614.770
mNor                              251.671     21.194         147.983    443.037
mAch                              349.049    166.882         186.138    531.666
