Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.013    -15.497         177.056    451.722
N                                 156.982    104.877         128.762    318.221
M                                 224.170    -39.079         176.440    472.512
k1                                370.403    -21.726         232.590    666.039
k2                                165.264     58.331         115.288    313.775
tau1                               79.687      9.258          78.588    207.956
tau2                              293.640     36.586         187.150    533.995
tauAch                            333.259    122.061         163.179    497.060
tauNor                            323.003    -58.113         162.224    511.702
beta                              282.933    162.131         186.656    498.563
h0                                548.169     21.899         224.420    773.820
mNor                              338.339     28.311         197.344    582.055
mAch                              468.513    223.316         249.697    708.377
