Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             110.039    -14.472         125.962    323.574
N                                 105.107     69.063          91.211    226.846
M                                 163.778    -21.676         121.649    341.033
k1                                279.170    -21.990         179.229    496.087
k2                                124.043     41.139          92.387    246.731
tau1                               58.756      7.589          66.521    161.684
tau2                              218.383     29.551         143.329    398.341
tauAch                            248.707     91.326         117.311    369.529
tauNor                            232.480    -46.228         117.751    370.129
beta                              202.567    113.054         136.181    366.513
h0                                396.970     19.232         173.613    568.991
mNor                              244.678     26.344         152.174    440.271
mAch                              352.812    169.791         177.612    530.902
