Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              13.437      0.829          12.731     33.471
N                                  14.729      7.039          10.608     26.789
M                                  18.271     -6.643          14.709     38.620
k1                                 29.068     -0.316          16.204     48.263
k2                                 11.496      3.833           7.807     21.461
tau1                                6.933      0.279           5.431     14.542
tau2                               22.791      3.640          15.879     43.367
tauAch                             29.186     10.248          15.682     45.565
tauNor                             30.519     -3.563          13.926     46.013
beta                               24.394     11.165          14.282     41.403
h0                                 45.406      0.870          19.224     64.439
mNor                               26.108      5.397          14.360     42.425
mAch                               36.788     20.120          19.433     55.102
