Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             151.471     -9.610         177.729    443.244
N                                 147.262     92.761         127.898    319.025
M                                 226.491    -28.904         174.517    471.964
k1                                385.825    -24.068         231.764    678.219
k2                                167.233     49.343         124.246    333.469
tau1                               81.805      2.626          84.188    217.732
tau2                              297.318     38.690         192.580    544.424
tauAch                            350.041    137.510         177.820    524.672
tauNor                            335.825    -65.583         173.612    522.634
beta                              282.743    162.510         194.787    510.168
h0                                557.083     22.171         224.039    797.826
mNor                              330.525     31.305         209.912    597.321
mAch                              476.161    228.099         240.256    721.347
