Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                               9.600     -4.800          13.767     34.473
N                                  26.400     -2.400          20.786     57.167
M                                  16.800      7.200          16.620     42.005
k1                                 16.800     -2.400          12.442     32.944
k2                                 14.400      4.800          11.745     30.755
tau1                                4.800      4.800           8.934     21.466
tau2                               19.200      0.000          16.365     44.048
tauAch                             28.800     -4.800          20.615     55.934
tauNor                             33.600      9.600          22.222     61.509
beta                           5114544751676185600.000 -5114544751676185600.000 9790808413038950400.000 22872939477425467392.000
h0                                 50.400     -7.200          25.842     79.827
mNor                               28.800     -4.800          17.855     51.415
mAch                           5114544751676185600.000 -5114544751676185600.000 9509120259043041280.000 22872939477425467392.000
