Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.823    -13.156         169.607    437.898
N                                 141.697     95.156         128.184    311.234
M                                 223.113    -28.355         171.603    464.349
k1                                384.241    -25.844         244.027    675.846
k2                                166.955     51.189         128.228    333.274
tau1                               81.060      4.133          90.319    218.358
tau2                              297.041     38.628         186.890    542.204
tauAch                            344.277    133.708         168.699    513.775
tauNor                            326.856    -64.909         162.273    511.895
beta                              276.794    156.799         184.385    501.325
h0                                543.873     20.870         240.135    781.503
mNor                              327.872     32.826         206.380    594.145
mAch                              474.368    228.930         245.236    717.912
