Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             127.561     -7.199         155.152    372.215
N                                 124.250     74.541         111.250    276.041
M                                 193.210    -25.776         151.830    406.296
k1                                330.983    -22.420         203.376    579.082
k2                                142.465     43.628         114.884    293.161
tau1                               67.981      3.400          74.891    192.414
tau2                              255.063     34.634         168.848    471.164
tauAch                            300.506    118.729         153.930    454.053
tauNor                            290.374    -58.704         150.878    450.336
beta                              245.062    140.053         166.636    440.656
h0                                478.458     24.509         211.322    688.984
mNor                              285.394     27.644         191.279    516.386
mAch                              407.655    197.737         212.589    620.741
