Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             146.746     -7.770         170.965    427.557
N                                 142.393     87.553         127.354    316.923
M                                 222.589    -27.780         170.720    466.145
k1                                382.653    -25.496         223.315    667.813
k2                                164.910     48.176         128.346    337.699
tau1                               78.841      2.179          88.873    220.185
tau2                              294.181     39.565         204.067    541.881
tauAch                            348.146    138.397         172.629    525.284
tauNor                            334.417    -68.145         162.535    518.554
beta                              281.854    161.679         191.889    507.043
h0                                551.164     24.699         239.672    793.511
mNor                              327.254     30.757         214.087    594.042
mAch                              469.460    227.389         255.668    714.259
