Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              96.106     -9.793         109.268    280.931
N                                  91.199     60.435          81.641    202.984
M                                 144.745    -19.066         113.196    302.735
k1                                251.944    -19.540         160.331    441.208
k2                                109.895     35.527          80.029    223.058
tau1                               51.093      4.047          58.454    146.045
tau2                              195.084     26.533         130.729    357.933
tauAch                            225.036     86.012         111.429    335.981
tauNor                            212.179    -43.786         107.319    333.418
beta                              181.180    101.429         124.638    328.070
h0                                353.936     15.449         149.591    510.564
mNor                              215.694     22.813         141.028    392.322
mAch                              310.961    152.495         162.389    472.305
