Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             152.257     -6.119         179.177    438.707
N                                 149.787     91.123         121.174    322.861
M                                 227.827    -27.765         172.957    474.025
k1                                390.589    -23.404         236.776    680.296
k2                                168.392     46.922         126.732    338.861
tau1                               81.684      0.005          87.437    220.679
tau2                              299.357     38.910         199.808    548.608
tauAch                            356.360    143.243         179.034    535.944
tauNor                            342.890    -68.671         176.839    529.627
beta                              286.646    165.251         187.062    515.359
h0                                562.186     21.651         245.531    807.750
mNor                              332.103     29.813         208.778    600.450
mAch                              476.839    228.812         241.232    723.794
