Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.027     -4.722         170.144    437.938
N                                 152.150     90.262         132.389    325.051
M                                 228.819    -27.301         177.513    475.619
k1                                391.971    -22.750         236.163    680.700
k2                                170.114     45.617         124.084    340.882
tau1                               81.855     -0.612          89.533    221.904
tau2                              300.840     39.035         190.383    549.524
tauAch                            360.189    145.122         183.799    540.594
tauNor                            345.639    -69.547         170.252    532.595
beta                              288.648    166.665         198.257    517.885
h0                                565.060     22.476         241.834    812.342
mNor                              333.233     29.078         211.569    601.432
mAch                              477.548    228.598         248.146    724.439
