Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             161.180     -1.178         173.621    450.094
N                                 311.925    -41.805         286.240    739.551
M                                 238.307    -36.358         184.455    489.634
k1                                374.097    -16.616         220.539    660.399
k2                                168.872     45.297         115.691    321.180
tau1                               81.055      2.877          86.430    211.138
tau2                              287.188     36.788         195.203    529.752
tauAch                            352.875    138.687         181.915    532.967
tauNor                            463.384     52.549         246.207    759.529
beta                              295.178    176.267         193.308    522.185
h0                                598.165     52.783         237.637    826.057
mNor                              336.028     25.150         201.596    585.319
mAch                              473.274    221.412         228.459    705.971
