Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             150.630    -12.366         179.916    445.662
N                                 186.687     64.092         137.766    364.925
M                                 225.788    -30.576         179.975    474.337
k1                                371.550    -22.719         233.238    665.816
k2                                167.562     50.303         116.455    322.964
tau1                               78.393      6.940          80.621    208.676
tau2                              292.103     36.229         191.195    534.198
tauAch                            342.318    127.745         165.782    512.165
tauNor                            353.201    -36.462         161.575    532.124
beta                              283.853    161.712         192.694    505.916
h0                                560.472     32.265         227.464    794.021
mNor                              332.966     31.576         197.811    585.753
mAch                              474.465    218.617         240.926    713.878
