Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             145.714     -6.285         175.578    421.611
N                                 142.890     84.266         126.042    316.834
M                                 221.259    -27.843         168.752    464.212
k1                                379.995    -25.237         231.290    661.244
k2                                164.524     47.471         128.605    337.867
tau1                               77.577      2.301          87.293    220.718
tau2                              292.893     39.681         196.093    538.823
tauAch                            347.840    138.483         172.804    524.727
tauNor                            334.396    -68.787         163.162    517.044
beta                              281.876    161.667         197.653    505.657
h0                                549.137     27.265         240.570    791.604
mNor                              326.490     30.123         196.379    590.755
mAch                              465.778    225.504         242.713    709.111
