Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             150.218     -8.791         181.136    438.369
N                                 143.643     93.128         124.662    317.336
M                                 225.390    -28.308         177.827    469.654
k1                                387.227    -24.211         236.504    677.784
k2                                166.477     48.789         124.202    335.635
tau1                               81.384      1.670          85.388    219.498
tau2                              297.810     38.680         193.212    545.581
tauAch                            350.388    139.274         173.246    525.861
tauNor                            336.248    -67.004         168.514    521.909
beta                              281.986    161.520         190.159    509.041
h0                                553.364     21.379         250.221    795.659
mNor                              329.387     31.285         211.677    597.003
mAch                              474.523    228.780         247.716    720.291
