Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             158.206     -2.393         179.952    446.157
N                                 201.084     56.690         151.024    392.674
M                                 234.060    -33.037         177.135    484.424
k1                                391.043    -20.875         233.585    681.261
k2                                168.763     47.356         122.055    334.318
tau1                               82.481     -1.069          86.041    217.912
tau2                              300.494     37.785         193.033    550.292
tauAch                            360.789    145.634         183.276    543.628
tauNor                            359.414    -61.341         174.491    543.352
beta                              295.242    172.072         201.768    524.227
h0                                583.393     31.162         243.391    825.354
mNor                              338.066     29.480         204.977    600.862
mAch                              473.871    231.079         250.617    723.797
