Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             146.760    -13.308         180.055    432.754
N                                 137.785     91.519         122.187    309.397
M                                 220.701    -29.268         171.722    461.429
k1                                378.371    -26.634         228.525    666.868
k2                                164.963     52.117         125.584    331.292
tau1                               79.307      5.687          87.872    217.469
tau2                              293.591     39.044         185.504    537.341
tauAch                            339.518    130.658         162.466    508.139
tauNor                            323.360    -64.282         158.058    507.129
beta                              275.412    155.919         188.844    497.704
h0                                540.285     24.273         220.260    775.683
mNor                              325.810     33.366         207.437    589.813
mAch                              469.386    227.390         240.930    711.244
