Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              85.007     -6.025         101.140    250.514
N                                  80.430     51.513          76.127    184.721
M                                 130.124    -16.517          99.539    273.321
k1                                224.172    -16.000         139.400    392.493
k2                                 96.660     29.400          73.565    199.764
tau1                               45.883      2.424          50.752    130.288
tau2                              172.746     23.737         115.437    318.997
tauAch                            202.910     79.517         102.014    306.484
tauNor                            194.172    -39.955          98.238    302.543
beta                              164.706     93.778         109.120    296.945
h0                                321.745     15.173         141.126    463.834
mNor                              192.415     18.814         125.521    350.148
mAch                              276.743    134.650         142.648    421.030
