Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              29.901     -1.500          34.118     87.234
N                                  29.173     17.576          25.402     65.719
M                                  45.990     -5.546          37.590     96.399
k1                                 79.116     -5.397          45.697    137.641
k2                                 34.526      9.673          26.656     70.798
tau1                               16.027      0.422          18.414     45.868
tau2                               61.108      8.400          40.472    112.180
tauAch                             72.889     28.768          38.840    109.695
tauNor                             69.406    -14.449          34.449    107.442
beta                               58.598     33.577          40.814    105.211
h0                                114.414      5.292          50.411    164.878
mNor                               67.782      6.221          45.637    123.131
mAch                               97.208     47.063          50.246    147.945
