Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              82.064     -4.474          93.316    239.841
N                                  78.916     48.674          68.582    179.390
M                                 125.651    -15.536          94.821    263.914
k1                                216.597    -14.908         129.152    377.494
k2                                 93.870     27.158          72.003    193.472
tau1                               44.049      1.554          49.403    125.844
tau2                              166.803     22.890         111.423    307.406
tauAch                            197.930     78.229          99.016    298.645
tauNor                            189.190    -39.207          94.483    293.559
beta                              159.874     91.449         110.206    287.572
h0                                312.048     14.756         133.008    449.989
mNor                              185.526     17.358         117.441    337.304
mAch                              266.203    129.188         146.405    405.244
