Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             109.612     -6.932         130.126    322.362
N                                 102.906     66.640         101.704    239.469
M                                 168.124    -21.206         127.739    353.676
k1                                291.387    -20.686         178.088    508.616
k2                                125.067     37.608          98.692    260.153
tau1                               59.124      2.450          67.502    169.698
tau2                              224.194     30.700         150.714    414.269
tauAch                            263.614    104.428         134.324    398.916
tauNor                            252.756    -52.609         130.019    392.945
beta                              213.456    121.587         146.811    385.110
h0                                416.377     19.343         180.321    601.685
mNor                              248.670     24.092         157.515    453.871
mAch                              357.657    174.621         183.676    545.388
