Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             154.247     -1.156         174.586    432.998
N                                 195.619     53.038         138.200    386.429
M                                 230.115    -31.865         180.838    478.985
k1                                385.110    -21.850         234.090    667.905
k2                                167.906     46.554         126.715    336.317
tau1                               79.760      0.245          86.792    219.978
tau2                              297.555     38.736         185.039    544.595
tauAch                            358.065    144.331         179.276    540.395
tauNor                            359.336    -58.976         175.605    538.953
beta                              294.267    171.274         199.557    520.606
h0                                576.606     35.928         234.936    819.377
mNor                              335.630     29.038         211.373    595.965
mAch                              467.622    227.819         250.732    714.605
