Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             116.274      5.209         126.233    312.504
N                                 130.664     55.253          92.665    249.235
M                                 165.872    -29.460         128.935    352.565
k1                                269.477     -9.927         158.723    468.590
k2                                115.140     35.516          89.476    229.354
tau1                               55.713     -0.976          61.336    151.845
tau2                              209.105     26.237         138.038    386.272
tauAch                            255.884    103.370         133.621    394.095
tauNor                            261.248    -49.541         124.733    397.730
beta                              214.051    123.331         140.692    376.989
h0                                415.928     23.285         174.473    598.178
mNor                              244.200     20.092         143.198    416.101
mAch                              331.626    154.071         179.804    506.002
