Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             158.629     -2.154         177.372    446.757
N                                 166.370     94.559         129.253    335.342
M                                 232.408    -31.859         184.634    484.629
k1                                391.348    -20.796         240.374    681.877
k2                                168.722     48.024         123.945    334.305
tau1                               82.446     -0.956          82.976    218.149
tau2                              300.870     37.774         195.946    551.429
tauAch                            361.095    145.607         187.626    544.549
tauNor                            352.809    -69.336         172.540    542.877
beta                              297.642    173.435         197.928    526.127
h0                                581.516     26.597         245.623    828.823
mNor                              339.662     30.312         203.762    601.450
mAch                              478.714    226.964         247.856    727.017
